                  epoch,         train/box_loss,         train/cls_loss,         train/dfl_loss,   metrics/precision(B),      metrics/recall(B),       metrics/mAP50(B),    metrics/mAP50-95(B),           val/box_loss,           val/cls_loss,           val/dfl_loss,                 lr/pg0,                 lr/pg1,                 lr/pg2
                      1,                 2.6231,                 3.7425,                 2.1332,                0.00824,                      1,                0.53249,                 0.2423,                 1.1244,                 2.4724,                  1.294,                      0,                      0,                      0
                      2,                 2.7204,                 3.3638,                 2.5589,                0.00668,                0.83333,                 0.5343,                0.20344,                 1.3062,                 2.5027,                 1.3767,             1.9802e-05,             1.9802e-05,             1.9802e-05
                      3,                 2.7479,                 3.2857,                 2.3428,                0.00666,                0.83333,                0.48251,                0.24629,                 1.2869,                 2.4965,                 1.3503,             3.9208e-05,             3.9208e-05,             3.9208e-05
                      4,                 2.1048,                 3.1586,                 1.9755,                0.00775,                      1,                 0.3613,                0.22111,                 1.2439,                 2.4821,                 1.3363,             5.8218e-05,             5.8218e-05,             5.8218e-05
                      5,                 1.9616,                 3.2249,                 1.8015,                0.00755,                      1,                0.52085,                0.23243,                 1.2717,                 2.4732,                 1.3367,             7.6832e-05,             7.6832e-05,             7.6832e-05
                      6,                 2.7393,                 3.4125,                 2.2697,                0.00748,                      1,                 0.5225,                0.20425,                 1.2854,                 2.4733,                 1.3472,              9.505e-05,              9.505e-05,              9.505e-05
                      7,                 2.4655,                 3.4387,                 2.0557,                0.00748,                      1,                0.38698,                0.19388,                 1.3521,                 2.4959,                 1.3643,             0.00011287,             0.00011287,             0.00011287
                      8,                 2.8496,                 3.3967,                 2.4566,                0.00743,                      1,                0.47551,                0.21849,                 1.3538,                 2.5074,                  1.358,              0.0001303,              0.0001303,              0.0001303
                      9,                 2.3522,                 3.4562,                 2.1109,                0.00603,                0.83333,                 0.3594,                0.19657,                 1.4019,                 2.5066,                 1.3852,             0.00014733,             0.00014733,             0.00014733
                     10,                 1.9029,                 3.1475,                 1.6316,                0.00604,                0.83333,                0.68692,                0.29109,                 1.3034,                 2.4683,                 1.3174,             0.00016396,             0.00016396,             0.00016396
                     11,                 1.9583,                  2.958,                  1.734,                0.00712,                      1,                0.57445,                 0.2571,                 1.2496,                 2.4513,                 1.2544,              0.0001802,              0.0001802,              0.0001802
                     12,                 1.8889,                 3.1801,                 1.8237,                0.00703,                      1,                0.67808,                0.36093,                 1.0693,                 2.4254,                  1.101,             0.00019604,             0.00019604,             0.00019604
                     13,                 1.5684,                 2.5128,                 1.5624,                0.00676,                      1,                0.68267,                 0.3935,                0.98162,                 2.4273,                 1.0659,             0.00021149,             0.00021149,             0.00021149
                     14,                 1.3585,                 2.1346,                 1.4703,                0.00662,                      1,                0.65718,                0.32513,                 1.0443,                 2.4545,                 1.1909,             0.00022654,             0.00022654,             0.00022654
                     15,                 1.5591,                 2.2599,                 1.4074,                0.00646,                      1,                0.65274,                0.37309,                 1.3986,                 2.5206,                 1.3829,             0.00024119,             0.00024119,             0.00024119
                     16,                 1.4979,                 2.1402,                 1.5571,                0.00621,                      1,                0.57443,                0.36487,                 1.6998,                 2.5617,                 1.5988,             0.00025545,             0.00025545,             0.00025545
                     17,                 1.1901,                 2.3327,                 1.4281,                0.00646,                      1,                0.49228,                0.31363,                 1.7745,                 2.5979,                 1.6664,             0.00026931,             0.00026931,             0.00026931
                     18,                  1.308,                 1.8523,                 1.3522,                0.00646,                      1,                0.49228,                0.31363,                 1.7745,                 2.5979,                 1.6664,             0.00028278,             0.00028278,             0.00028278
                     19,                 1.3903,                 2.3425,                 1.5753,                 0.0068,                      1,                0.40565,                0.25987,                  1.628,                  2.592,                 1.6698,             0.00029585,             0.00029585,             0.00029585
                     20,                 1.0302,                 1.8778,                 1.1826,                 0.0068,                      1,                0.40565,                0.25987,                  1.628,                  2.592,                 1.6698,             0.00030852,             0.00030852,             0.00030852
                     21,                 1.1046,                 2.4556,                 1.2586,                0.00724,                      1,                0.71767,                0.42248,                 1.2785,                 2.4843,                 1.3549,              0.0003208,              0.0003208,              0.0003208
                     22,                 1.0578,                 1.8898,                 1.3039,                0.00724,                      1,                0.71767,                0.42248,                 1.2785,                 2.4843,                 1.3549,             0.00033268,             0.00033268,             0.00033268
